5.000000000000000278e-02,1.000000000000000056e-01,1.676136446232142641e-01
2.500000000000000139e-02,5.000000000000000278e-02,1.379592429237194995e-01
1.666666666666666644e-02,3.333333333333333287e-02,1.184659921704834112e-01
1.250000000000000069e-02,2.500000000000000139e-02,1.032386397206305623e-01
1.000000000000000021e-02,2.000000000000000042e-02,9.165643548275741181e-02
8.333333333333333218e-03,1.666666666666666644e-02,8.220375533141030533e-02
7.142857142857142634e-03,1.428571428571428527e-02,7.490716485271860237e-02
6.250000000000000347e-03,1.250000000000000069e-02,6.869986142781524252e-02
5.555555555555555768e-03,1.111111111111111154e-02,6.333105775163226647e-02
5.000000000000000104e-03,1.000000000000000021e-02,5.890317954456378985e-02
4.545454545454545234e-03,9.090909090909090468e-03,5.512532053307816343e-02
4.166666666666666609e-03,8.333333333333333218e-03,5.172288023287426734e-02
3.846153846153846367e-03,7.692307692307692735e-03,4.869850037620546829e-02
3.571428571428571317e-03,7.142857142857142634e-03,4.605789616578630230e-02
3.333333333333333547e-03,6.666666666666667095e-03,4.370476356432290155e-02
3.125000000000000173e-03,6.250000000000000347e-03,4.155324673244105427e-02
2.941176470588235253e-03,5.882352941176470507e-03,3.963858738042321667e-02
2.777777777777777884e-03,5.555555555555555768e-03,3.786235717971196679e-02
2.631578947368420993e-03,5.263157894736841987e-03,3.623802465256575900e-02
2.500000000000000052e-03,5.000000000000000104e-03,3.478635063529625371e-02
2.380952380952381167e-03,4.761904761904762334e-03,3.396222085301239813e-02
2.272727272727272617e-03,4.545454545454545234e-03,3.214959748078102808e-02
2.173913043478260896e-03,4.347826086956521792e-03,3.099194761163774278e-02
2.083333333333333304e-03,4.166666666666666609e-03,2.991489143177426813e-02
2.000000000000000042e-03,4.000000000000000083e-03,2.889754936274356936e-02
1.923076923076923184e-03,3.846153846153846367e-03,2.796090043796960189e-02
1.851851851851851923e-03,3.703703703703703845e-03,2.707223388716015547e-02
1.785714285714285659e-03,3.571428571428571317e-03,2.624074475391436831e-02
1.724137931034482735e-03,3.448275862068965469e-03,2.546978939159441971e-02
1.666666666666666774e-03,3.333333333333333547e-03,2.473439244697132194e-02
1.612903225806451612e-03,3.225806451612903223e-03,2.403357955216561814e-02
1.562500000000000087e-03,3.125000000000000173e-03,2.338460902926943474e-02
1.515151515151515150e-03,3.030303030303030300e-03,2.276610280081637488e-02
1.470588235294117627e-03,2.941176470588235253e-03,2.217432187426974372e-02
1.428571428571428570e-03,2.857142857142857140e-03,2.161812657513078814e-02
1.388888888888888942e-03,2.777777777777777884e-03,2.108669264576453969e-02
1.351351351351351426e-03,2.702702702702702853e-03,2.058049337196964437e-02
1.315789473684210497e-03,2.631578947368420993e-03,2.010209689695240109e-02
1.282051282051282050e-03,2.564102564102564100e-03,1.964135889640556895e-02
1.250000000000000026e-03,2.500000000000000052e-03,1.919938230983715341e-02
1.219512195121951218e-03,2.439024390243902437e-03,1.878359741975728012e-02
1.190476190476190584e-03,2.380952380952381167e-03,1.866539687140772105e-02
1.162790697674418589e-03,2.325581395348837177e-03,1.799524563343396846e-02
1.136363636363636308e-03,2.272727272727272617e-03,1.762671644134302176e-02
1.111111111111111110e-03,2.222222222222222220e-03,1.727358749992722806e-02
1.086956521739130448e-03,2.173913043478260896e-03,1.693287473800539344e-02
